#{"t_start": 1790414012.686654, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.0075,75,61.388391,1123,164,75,0,0,0,0,0,0,1,False,,0,0,1
-1.004,40,61.483012,1124,169,40,0,0,0,0,0,0,1,False,,0,0,1
-1.007,70,61.599129,1125,159,70,0,0,0,0,0,0,1,False,,0,0,1
-1.003661,217,61.836446,1126,170,217,0,0,0,0,0,0,1,False,,0,2,1
-1.005732,69,61.955755,1127,177,69,0,0,0,0,0,0,1,False,,0,0,1
-0.996749,110,62.103713,1128,164,110,0,0,0,0,0,0,1,False,,0,0,1
-1.007157,84,62.233447,1129,163,84,0,0,0,0,0,0,1,False,,0,0,1
-1.0004,4,62.29914,1130,159,4,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,63.029746,1131,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.010551,106,63.180611,1132,172,106,0,0,0,0,0,0,1,False,,0,0,1
-1.0067,67,63.292385,1133,155,67,0,0,0,0,0,0,1,False,,0,0,1
1.042673,219,64.308332,1134,164,219,0,1,1,0,0,0,0,False,,0,3,0
-1.0135,135,64.56707,1135,165,135,0,0,0,0,0,0,1,False,,0,0,1
-1.0044,44,64.664387,1136,159,44,0,0,0,0,0,0,1,False,,0,0,1
-1.0109,109,64.801995,1137,165,109,0,0,0,0,0,0,1,False,,0,0,1
0.047005,172,64.99994,1138,177,172,0,0,0,1,0,0,0,False,,0,0,3
0.0,1,65.55159,1139,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,6
-1.002463,26,65.625645,1140,166,26,0,0,0,0,0,0,1,False,,0,1,0
-0.226127,2225,68.27143,1141,175,2225,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,4,0
-0.169494,2236,70.838094,1142,164,2236,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,6,0
-1.004024,40,70.928367,1143,155,40,0,0,0,0,0,0,1,False,,0,0,1
-1.011673,101,71.065963,1144,164,101,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,71.6811,1145,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,6
-1.1742,1742,73.918004,1146,183,1742,0,0,0,0,0,0,1,False,,0,11,0
-1.122026,1255,74.808001,1147,156,1255,0,0,0,0,0,0,1,False,,0,0,1
