trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
99,-20.0,"{""MOUNT_SPEED"": 790, ""IR_TRIGGER"": 0.25867192937225436, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 660, ""RECOVER_LIMIT"": 5}",0,20,0,"[30.0, 30.0, 30.0, 30.0]","[[1.0, 8.0], [0.0, 8.0], [1.0, 7.0], [0.0, 7.0]]"
100,-4.0,"{""MOUNT_SPEED"": 780, ""IR_TRIGGER"": 0.21592507906865646, ""FALL_THRESHOLD"": 280, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 6}",4,8,0,"[30.0, 30.0, 30.0, 30.0]","[[3.0, 4.0], [3.0, 4.0], [3.0, 4.0], [3.0, 4.0]]"
101,-10.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.2081078254161445, ""FALL_THRESHOLD"": 345, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 5}",2,12,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [4.0, 0.0], [1.0, 4.0], [5.0, 0.0]]"
102,-56.0,"{""MOUNT_SPEED"": 800, ""IR_TRIGGER"": 0.20392471006734833, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 760, ""RECOVER_LIMIT"": 4}",0,16,4,"[31.0, 31.0, 31.0, 31.0]","[[0.0, 7.0], [0.0, 6.0], [0.0, 6.0], [0.0, 6.0]]"
103,-48.0,"{""MOUNT_SPEED"": 610, ""IR_TRIGGER"": 0.2148989407700564, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 5}",0,8,4,"[48.0, 48.0, 48.0, 48.0]","[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0]]"
104,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.19789715373614136, ""FALL_THRESHOLD"": 250, ""EDGE_THRESHOLD"": 700, ""RECOVER_LIMIT"": 4}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
105,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.2519811804842212, ""FALL_THRESHOLD"": 255, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
106,-4.0,"{""MOUNT_SPEED"": 780, ""IR_TRIGGER"": 0.21468878271770797, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 630, ""RECOVER_LIMIT"": 5}",4,8,0,"[30.0, 30.0, 30.0, 30.0]","[[3.0, 4.0], [3.0, 4.0], [3.0, 4.0], [3.0, 4.0]]"
107,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.2165781675351008, ""FALL_THRESHOLD"": 285, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 6}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
108,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.23119897578130089, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 620, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
109,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.20984596839472808, ""FALL_THRESHOLD"": 250, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 6}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
