#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.010719,82,50.468418,1104,166,82,0,0,0,0,0,0,1,False,,0,0,1
-0.450553,155,50.657121,1105,181,155,0,0,0,0,1,1,0,False,,0,0,0
-1.00945,78,50.784462,1106,170,78,0,0,0,0,0,0,1,False,,0,2,0
-1.009376,90,51.703555,1107,161,90,0,0,0,0,0,0,1,False,,0,0,1
-0.007793,726,52.431881,1108,165,726,0,0,0,1,0,0,0,False,,0,1,3
-0.999325,208,52.659105,1109,165,208,0,0,0,0,0,0,1,False,,0,2,1
-1.0024,24,52.736644,1110,169,24,0,0,0,0,0,0,1,False,,0,0,1
-1.003173,47,52.831837,1111,172,47,0,0,0,0,0,0,1,False,,0,1,1
-1.0212,212,53.050601,1112,181,212,0,0,0,0,0,0,1,False,,0,2,0
0.027544,359,53.385927,1113,165,359,0,0,0,2,0,0,0,False,,0,2,6
-0.225775,2234,56.189978,1114,166,2234,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,8,0
-0.169904,2237,58.992766,1115,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,9,0
-1.0025,25,59.076655,1116,163,25,0,0,0,0,0,0,1,False,,0,0,1
-1.073443,745,60.846549,1117,160,745,0,0,0,0,0,0,1,False,,0,6,0
-1.0033,33,60.935279,1118,166,33,0,0,0,0,0,0,1,False,,0,0,1
-0.228249,2244,63.558182,1119,156,2244,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,2,0
-1.0026,26,63.640641,1120,165,26,0,0,0,0,0,0,1,False,,0,0,1
-1.0014,14,63.713694,1121,161,14,0,0,0,0,0,0,1,False,,0,0,1
-1.0026,26,63.794243,1122,166,26,0,0,0,0,0,0,1,False,,0,0,1
-1.0075,75,63.910406,1123,164,75,0,0,0,0,0,0,1,False,,0,0,1
-1.004,40,64.003258,1124,169,40,0,0,0,0,0,0,1,False,,0,0,1
-1.007,70,64.117235,1125,159,70,0,0,0,0,0,0,1,False,,0,0,1
-1.003661,217,64.344107,1126,170,217,0,0,0,0,0,0,1,False,,0,2,1
-1.005732,69,64.461694,1127,177,69,0,0,0,0,0,0,1,False,,0,0,1
-0.996749,110,64.602247,1128,164,110,0,0,0,0,0,0,1,False,,0,0,1
-1.007157,84,64.730512,1129,163,84,0,0,0,0,0,0,1,False,,0,0,1
-1.0004,4,64.795534,1130,159,4,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,65.517178,1131,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.010551,106,65.666456,1132,172,106,0,0,0,0,0,0,1,False,,0,0,1
-1.0067,67,65.774086,1133,155,67,0,0,0,0,0,0,1,False,,0,0,1
1.042673,219,66.914647,1134,164,219,0,1,1,0,0,0,0,False,,0,3,0
-1.0135,135,67.178125,1135,165,135,0,0,0,0,0,0,1,False,,0,0,1
-1.0044,44,67.270848,1136,159,44,0,0,0,0,0,0,1,False,,0,0,1
-1.0109,109,67.411747,1137,165,109,0,0,0,0,0,0,1,False,,0,0,1
0.047005,172,67.621411,1138,177,172,0,0,0,1,0,0,0,False,,0,0,3
0.0,1,68.157088,1139,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,6
-1.002463,26,68.233361,1140,166,26,0,0,0,0,0,0,1,False,,0,1,0
-0.226127,2225,71.156788,1141,175,2225,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,4,0
-0.169494,2236,73.769903,1142,164,2236,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,6,0
