rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction
441.9,676,61440,90,-0.69238736,30,0.9469757080078125,0.0003,-2.727197551727295,0.0035334527,0.6661330461502075,0.005808442831039429,0.2,-0.00033391269607818685,0.002462970313195001,290,0.03515625
444.85,662,63488,95,-0.65246102,31,0.9480364322662354,0.0003,-2.7287726998329163,0.0045806943,0.6054074764251709,-0.013311338610947132,0.2,-0.002829805034707533,0.0009131166505767397,300,0.042626953125
406.98,658,65536,99,-0.6424867200000002,32,0.9380660057067871,0.0003,-2.719703408330679,0.0050094575,0.5172741413116455,0.004004321992397308,0.2,-0.0034034692482237004,0.010787452355725691,310,0.049853515625
408.7,653,67584,103,-0.6581769500000001,33,0.9367022514343262,0.0003,-2.7052564881742,0.0052509317,0.29200267791748047,-0.02143152244389057,0.2,-0.004615519799699541,0.009968640395527473,320,0.055810546875
429.13,656,69632,105,-0.6500643600000001,34,0.9272258281707764,0.0003,-2.6957095198333265,0.004895852,0.6187641620635986,-0.02221224084496498,0.2,-0.001992964079545345,0.006877759471171885,330,0.04345703125
451.27,659,71680,108,-0.6423292099999999,35,0.9345358610153198,0.0003,-2.696157392114401,0.006340622,0.7573829889297485,-0.01958153024315834,0.2,-0.005014035948261153,0.003558042853092047,340,0.059619140625
475.64,657,73728,112,-0.6337304299999998,36,0.924784243106842,0.0003,-2.6903490625321864,0.0074560987,0.6693563461303711,-0.020298678427934647,0.2,-0.0023191238768049518,0.0004124671519775802,350,0.056494140625
498.3,653,75776,115,-0.6555288699999999,37,0.9120842218399048,0.0003,-2.6641648851335047,0.006418164,0.37516021728515625,0.001784555264748633,0.2,-0.004444678781874245,0.003113092425837749,360,0.063818359375
498.36,652,77824,119,-0.65553487,38,0.9184314012527466,0.0003,-2.6617171600461007,0.0084114745,0.8022239804267883,-0.0028621554374694824,0.2,-0.003242035338917049,0.004553507954369707,370,0.08369140625
474.04,648,79872,123,-0.65733585,39,0.9185556173324585,0.0003,-2.6687632374465466,0.0072420845,0.39090561866760254,-0.0026843987870961428,0.2,-0.003321519069140777,0.0024691793428928575,380,0.05986328125
475.11,648,81920,126,-0.66255925,40,0.9093020558357239,0.0003,-2.6552982211112974,0.006864918,0.2905150055885315,-0.00241184514015913,0.2,-0.004443788615026279,0.01800461291713873,390,0.05654296875
486.0,647,83968,129,-0.6644080600000001,41,0.8950978517532349,0.0003,-2.6321906477212904,0.006128965,0.7056721448898315,-0.022123165428638458,0.2,-0.003594540952326497,0.005146423583391879,400,0.0494140625
464.77,647,86016,132,-0.67209266,42,0.8925964832305908,0.0003,-2.611822780966759,0.0051919194,0.3347095847129822,0.024031242355704308,0.2,-0.00244821489250171,0.008509285611944506,410,0.054833984375
448.56,646,88064,136,-0.6801231799999999,43,0.8774375319480896,0.0003,-2.593586476892233,0.0067358464,0.8625588417053223,-0.0017263395711779594,0.2,-0.0031819674135476817,0.001775081407140533,420,0.053515625
465.96,647,90112,139,-0.68128715,44,0.8769364356994629,0.0003,-2.5748252496123314,0.0076431516,0.6402008533477783,-0.0164909977465868,0.2,-0.0026861795791774056,0.005484380558482371,430,0.0728515625
490.22,646,92160,142,-0.66747789,45,0.8681284785270691,0.0003,-2.56541947722435,0.004637885,0.9262491464614868,-0.008596310392022133,0.2,-0.003697502819704823,0.0019786627351095374,440,0.04609375
512.53,643,94208,146,-0.63939461,46,0.8572165966033936,0.0003,-2.5400916434824468,0.0066489764,0.8056225776672363,-0.006588958669453859,0.2,-0.006524639316921821,0.0045854388614316125,450,0.080712890625
517.75,645,96256,149,-0.63965746,47,0.8505803346633911,0.0003,-2.521560215950012,0.005038387,0.8949829936027527,-0.01327729132026434,0.2,-0.0014597381741623394,0.0008318492284615786,460,0.034619140625
542.05,642,98304,153,-0.6263666,48,0.8602908253669739,0.0003,-2.5247416898608206,0.006848644,0.5378501415252686,-0.0019214553758502007,0.2,-0.0029945496513391844,0.0023238213422700936,470,0.05986328125
557.04,642,100352,156,-0.63279748,49,0.854456901550293,0.0003,-2.528097851574421,0.0036755707,0.1387285590171814,0.004435664974153042,0.2,-0.0013742900839133654,0.008807638738471724,480,0.033154296875
559.27,643,102400,159,-0.6373213400000001,50,0.8590425252914429,0.0003,-2.5284670583903788,0.0066118967,0.3134394884109497,0.0020321765914559364,0.2,-0.003469827733351849,0.006219293594767805,490,0.06494140625
557.63,642,104448,162,-0.61768043,51,0.8764066100120544,0.0003,-2.554830886423588,0.005854682,0.2555517554283142,0.0012893908424302936,0.2,-0.007092225894302829,0.0022696061442275097,500,0.07685546875
530.18,641,106496,166,-0.6092042900000001,52,0.8678388595581055,0.0003,-2.5596303440630437,0.0064488063,0.9348452091217041,-0.011810003779828548,0.2,-0.0041824674597592095,0.0002089235339155948,510,0.065478515625
493.32,635,108544,170,-0.63275335,53,0.871955156326294,0.0003,-2.559781055152416,0.0066552674,0.5843633413314819,0.003935490269213915,0.2,-0.0025129152898443865,0.0024000635312404484,520,0.06328125
493.32,634,110592,174,-0.63275335,54,0.8672914505004883,0.0003,-2.5581714153289794,0.0049568666,0.674096941947937,-0.014492804184556007,0.2,-0.002525901544140652,0.007891075207589892,530,0.036083984375
497.21,635,112640,177,-0.63224405,55,0.8685994744300842,0.0003,-2.5538876801729202,0.0047381287,-1.433840036392212,0.002640753285959363,0.2,-0.003253757282800507,0.0008069655003737353,540,0.0697265625
514.24,636,114688,180,-0.6345995499999999,56,0.8703023195266724,0.0003,-2.558728163689375,0.0060668783,0.46796929836273193,-0.007403389550745487,0.2,-0.005357482731051277,0.007259537464051391,550,0.05908203125
536.46,638,116736,182,-0.63682273,57,0.8806399703025818,0.0003,-2.573375279456377,0.0041448944,0.7207629084587097,-0.0010938628111034632,0.2,-0.0051853722456144166,0.002286470746184932,560,0.036376953125
536.93,637,118784,186,-0.6628101,58,0.8758629560470581,0.0003,-2.5769391745328902,0.0053596515,0.9487563967704773,-8.755663657211699e-06,0.2,-0.0026256255310727282,0.00024265312572993025,570,0.032275390625
555.82,639,120832,189,-0.66524955,59,0.8628494739532471,0.0003,-2.555951025336981,0.008130893,0.5410780906677246,0.004170256666839123,0.2,-0.006378512005903758,0.002923872768133151,580,0.1244140625
565.5,640,122880,191,-0.67581003,60,0.8572266101837158,0.0003,-2.5321974284946918,0.0059339986,0.8168368339538574,-0.02874358557164669,0.2,-0.006104930209403392,0.005852366887847893,590,0.056103515625
578.68,642,124928,194,-0.6769728899999999,61,0.8542599678039551,0.0003,-2.5258180133998396,0.008896341,0.582240104675293,0.010967439040541649,0.2,-0.005453142400074285,0.008391860012488905,600,0.096728515625
600.95,644,126976,196,-0.67863058,62,0.844130277633667,0.0003,-2.511128604412079,0.0059183203,0.7476193308830261,0.006521499715745449,0.2,-0.004285663929476868,0.0029500006578018654,610,0.0587890625
603.11,645,129024,199,-0.6736049000000002,63,0.8323664665222168,0.0003,-2.4817224346101283,0.0074473545,0.9032488465309143,0.008664392866194248,0.2,-0.0031666812021285294,0.00017981667906497023,620,0.0625
603.11,647,131072,202,-0.6736049000000002,64,0.8383642435073853,0.0003,-2.4782904125750065,0.004713596,0.6961973905563354,0.019689243286848068,0.2,-0.002294114523101598,0.002917965085725882,630,0.03994140625
566.3,647,133120,205,-0.6800160300000002,65,0.8371639847755432,0.0003,-2.4855377830564978,0.0045964657,0.5275144577026367,0.002673304872587323,0.2,-0.002123893686803058,0.00010463499784236774,640,0.041455078125
588.42,649,135168,208,-0.67222803,66,0.8471697568893433,0.0003,-2.493117696791887,0.0076601813,0.6170713901519775,-0.021788638085126877,0.2,-0.006894921201455873,0.006377165836602217,650,0.094873046875
581.3,650,137216,210,-0.68189115,67,0.8629142045974731,0.0003,-2.5252614714205266,0.0052705808,0.9309584498405457,-0.010817402973771095,0.2,-0.0049891746326466094,0.00023371905382418845,660,0.04716796875
585.25,651,139264,213,-0.6772663499999999,68,0.8535913825035095,0.0003,-2.532431536912918,0.00980018,0.23952996730804443,-0.007323813624680042,0.2,-0.005233996018068865,0.0038686347324983217,670,0.080810546875
587.39,648,141312,217,-0.6559571200000001,69,0.8586865663528442,0.0003,-2.526042128354311,0.008905217,0.5523921251296997,-0.0010764355538412929,0.2,-0.004632673694868572,0.003586279132832715,680,0.08037109375
565.46,647,143360,221,-0.6594868300000001,70,0.8730103373527527,0.0003,-2.5514168098568915,0.0076823477,0.5126574039459229,0.017064176499843597,0.2,-0.005064082617900567,0.014394509732665029,690,0.04970703125
586.7,649,145408,224,-0.6511422,71,0.8728718757629395,0.0003,-2.5628974713385104,0.0065606264,0.6274014711380005,0.010670077987015247,0.2,-0.003676330754387891,0.00963952055608388,700,0.05283203125
605.94,650,147456,226,-0.64265986,72,0.8796855211257935,0.0003,-2.5704114899039268,0.0057216203,0.17338377237319946,-0.008651095442473888,0.2,-0.002606404243852012,0.0007865875995321403,710,0.04580078125
626.2,652,149504,229,-0.63466129,73,0.8879066705703735,0.0003,-2.5865718804299833,0.0068789246,-0.005523204803466797,0.054891545325517654,0.2,-0.006227753110579215,0.0031696771602128136,720,0.070068359375
571.06,653,151552,231,-0.64976269,74,0.880801796913147,0.0003,-2.5897813886404037,0.0043072365,-0.8369269371032715,0.0067953672260046005,0.2,-0.0017954392926185392,0.0009925033540639562,730,0.02822265625
585.7,654,153600,234,-0.67174255,75,0.8914735317230225,0.0003,-2.5931403316557406,0.004253635,0.356081485748291,-0.0075898552313447,0.2,-0.0027727373148081825,0.007285148438313627,740,0.05029296875
579.62,653,155648,238,-0.6711762900000001,76,0.8915998935699463,0.0003,-2.603853191435337,0.008317852,0.39593225717544556,0.034290485084056854,0.2,-0.0030642043049738275,0.005762027098899125,750,0.074755859375
585.8,654,157696,240,-0.66181087,77,0.8839492201805115,0.0003,-2.5960977599024773,0.011954373,0.20643603801727295,0.027719121426343918,0.2,-0.008322023481014185,0.010731576756734284,760,0.12861328125
606.35,656,159744,243,-0.6593476000000003,78,0.8802271485328674,0.0003,-2.5837760016322138,0.0048065307,0.755595326423645,0.026335420086979866,0.2,-0.004320593501324766,0.0009275880582777063,770,0.06357421875
606.35,658,161792,245,-0.6593476000000003,79,0.8863803148269653,0.0003,-2.584249606728554,0.0064242105,0.35807472467422485,-0.03253753483295441,0.2,-0.004605664609698579,0.0002772523089220158,780,0.0548828125
597.77,658,163840,248,-0.6623206599999999,80,0.8984488248825073,0.0003,-2.605741510540247,0.008504653,0.5580896139144897,-0.010812623426318169,0.2,-0.007252620307554025,6.980346672236237e-05,790,0.10009765625
584.21,659,165888,251,-0.6696510600000001,81,0.905418336391449,0.0003,-2.626163133233786,0.0047387406,0.2889012098312378,-0.01660545915365219,0.2,-0.0037956362775730668,0.007635347373798141,800,0.0515625
604.97,659,167936,254,-0.6447788000000003,82,0.9007189273834229,0.0003,-2.630164686590433,0.0054606507,0.539483904838562,0.013751694932579994,0.2,-0.002305267719202675,0.008993177031334199,810,0.0408203125
601.95,659,169984,257,-0.6081926400000001,83,0.8883103132247925,0.0003,-2.607125436514616,0.0052643334,0.009840071201324463,0.020394805818796158,0.2,-0.006765635112242307,0.014979199050867465,820,0.045947265625
597.01,660,172032,260,-0.61827164,84,0.8826374411582947,0.0003,-2.587606082856655,0.003533734,0.25525909662246704,-0.003440080676227808,0.2,-0.0017541915229230653,0.012162545342653175,830,0.03203125
603.22,661,174080,263,-0.6084468500000001,85,0.8753371238708496,0.0003,-2.572185730189085,0.007670034,0.5897206664085388,-0.015756012871861458,0.2,-0.005889431564719416,0.0033597263221054165,840,0.092236328125
603.22,662,176128,265,-0.6084468500000001,86,0.8737386465072632,0.0003,-2.5659027487039565,0.006388725,0.46113598346710205,0.01628144457936287,0.2,-0.0018979431610205212,0.004259457963053137,850,0.036083984375
625.14,663,178176,268,-0.6005527900000001,87,0.8808335065841675,0.0003,-2.567828059196472,0.005571453,0.9053324460983276,-0.018248625099658966,0.2,-0.0029866231125197373,0.00013889041610610776,860,0.050830078125
601.69,664,180224,271,-0.60776102,88,0.8810762763023376,0.0003,-2.5781585104763507,0.007648637,0.8074038624763489,0.017364270985126495,0.2,-0.00505825016007293,0.00032929169503859157,870,0.06083984375
625.43,665,182272,273,-0.62010051,89,0.8850209712982178,0.0003,-2.582558374851942,0.0067511844,0.7140217423439026,-0.019759371876716614,0.2,-0.004279587131168228,0.0033439289582020137,880,0.055029296875
628.76,666,184320,276,-0.60973594,90,0.8942827582359314,0.0003,-2.5964119590818884,0.010191589,0.3983016014099121,-0.018328726291656494,0.2,-0.005791308455809485,0.00398175101263405,890,0.10830078125
649.09,667,186368,279,-0.60115118,91,0.8917924165725708,0.0003,-2.603910391032696,0.0039836774,0.8645251989364624,-0.03931917995214462,0.2,-0.0003240976649976801,0.0004984375491858372,900,0.038623046875
565.62,665,188416,283,-0.59961613,92,0.8933601379394531,0.0003,-2.6056794308125975,0.004816113,0.7550713419914246,0.00487012043595314,0.2,-0.0030502706991683225,0.0031722139839985173,910,0.051806640625
585.47,666,190464,285,-0.59705859,93,0.8969557881355286,0.0003,-2.6121036358177663,0.0077399816,0.5472603440284729,-0.006527680903673172,0.2,-0.00665214450127678,0.008883375844015972,920,0.0904296875
